1,이트론,11,3,-21.43%,"62,301,276",723,11,12,100,0.55,-2.85
2,빌리언스,456,12,-2.56%,"27,050,352","13,426",457,458,185,-8.29,-10.32
3,현대무벡스,"5,860","1,205",+25.89%,"23,361,594","134,941","5,870","5,880","6,527",26.64,16.17
4,크레오에스지,450,85,+23.29%,"19,656,299","8,280",434,435,869,-5.06,-29.01
5,러셀,"2,325",260,+12.59%,"17,895,786","43,100","2,355","2,360",740,-332.14,8.06
6,유니슨,"1,267",220,+21.01%,"17,393,197","21,313","1,293","1,295","2,163",-11.95,-36.03
7,이화전기,80,14,-14.89%,"15,063,752","1,254",80,81,175,1.63,-5.83
8,태웅로직스,"3,515",490,+16.20%,"12,596,412","44,030","3,540","3,545","1,396",6.66,12.68
9,일승,"6,120",150,+2.51%,"10,650,980","68,526","6,130","6,140","1,880",37.32,4.57
10,스맥,"3,895",145,+3.87%,"10,319,878","40,611","3,875","3,880","2,658",24.34,18.73
11,동방선기,"4,630",145,+3.23%,"9,198,963","44,203","4,615","4,620",648,11.02,15.71
12,다날,"8,510",130,-1.50%,"8,400,793","71,312","8,710","8,720","5,868",-72.74,2.46
13,코닉오토메이션,"2,320",90,+4.04%,"8,214,473","19,710","2,280","2,285",976,-68.24,3.92
14,디에이치엑스컴퍼니,"1,004",114,+12.81%,"7,964,530","8,694","1,025","1,026",172,-0.67,-32.48
15,삼화네트웍스,"1,524",51,+3.46%,"7,859,305","12,473","1,525","1,528",658,-19.05,3.25
16,오리엔탈정공,"7,870",500,+6.78%,"7,713,472","62,777","7,900","7,920","3,587",13.64,26.45
17,케이에스피,"5,570",290,+5.49%,"7,015,435","40,209","5,500","5,520","2,239",19.21,25.99
18,동일스틸럭스,"1,549",30,+1.97%,"6,965,921","11,600","1,568","1,570",405,-4.87,-28.53
19,KD,640,14,+2.24%,"6,947,845","4,775",633,635,171,-1.41,12.56
20,성호전자,"1,065",38,+3.70%,"6,560,757","7,519","1,066","1,067",755,-8.80,6.54
21,조아제약,"1,170",158,+15.61%,"6,169,615","7,412","1,153","1,156",362,-3.59,-26.54
22,뉴로핏,"12,730","2,430",+23.59%,"6,139,657","74,529","12,700","12,710","1,471",-7.51,34.38
23,썸에이지,559,19,-3.29%,"6,125,583","3,497",562,563,778,-9.81,-28.33
24,올릭스,"76,400","상한가17,600",+29.93%,"6,019,089","431,447","76,400",0,"15,362",-30.91,-120.11
25,한라캐스트,"4,670",300,+6.86%,"5,565,529","26,610","4,680","4,690","1,705",12.10,46.18
26,휴림로봇,"2,595",80,+3.18%,"5,417,444","14,164","2,590","2,595","3,100",162.19,-5.59
27,삼영엠텍,"9,050",180,-1.95%,"5,281,557","49,209","9,060","9,070","1,176",13.23,8.54
28,손오공,"1,092",17,+1.58%,"4,439,615","4,860","1,115","1,117",731,-4.99,-38.27
29,피델릭스,"1,293",35,+2.78%,"4,394,257","5,689","1,288","1,292",428,-8.45,-4.53
30,현대ADM,"2,740",40,+1.48%,"4,279,086","12,152","2,720","2,725","1,325",-14.65,-118.31
31,현대힘스,"27,400",150,+0.55%,"4,209,578","118,819","27,550","27,600","9,721",51.12,8.07
32,디와이디,357,38,+11.91%,"4,206,550","1,519",357,360,447,-0.92,-241.11
33,텔콘RF제약,"1,842",17,+0.93%,"3,964,351","7,677","1,844","1,845",421,-3.21,-28.11
34,원풍물산,585,89,-13.20%,"3,930,428","2,485",588,590,238,-7.70,-23.77
35,제닉스로보틱스,"9,060",790,+9.55%,"3,924,561","36,665","9,080","9,090","1,188","-4,530.00",15.62
36,모비스,"2,890",75,-2.53%,"3,782,466","11,266","2,890","2,895",930,-17.31,32.31
37,케이엔알시스템,"12,670",570,-4.31%,"3,737,697","50,177","12,870","12,880","1,378",-19.08,-43.41
38,우리기술,"3,685",20,-0.54%,"3,721,429","13,974","3,715","3,720","6,100",38.39,-3.33
39,소니드,452,31,+7.36%,"3,684,653","1,716",437,438,333,-0.47,-74.62
40,아이비젼웍스,"1,374",8,-0.58%,"3,589,551","5,190","1,386","1,388",466,-5.43,-17.05
41,미투온,"6,100",140,+2.35%,"3,492,782","20,704","6,150","6,160","1,854",N/A,0.40
42,레이저옵텍,"7,420",480,+6.92%,"3,464,578","27,642","7,570","7,580",910,-15.20,N/A
43,에스피시스템스,"9,270",110,-1.17%,"3,421,475","33,102","9,350","9,370",999,-37.08,-3.83
44,서남,"3,085",230,-6.94%,"3,414,245","10,830","3,090","3,100",745,-18.58,-41.79
45,CSA 코스믹,984,30,-2.96%,"3,373,665","3,380",976,979,603,-9.03,-32.17
46,에스엠코어,"4,405",35,+0.80%,"2,895,025","13,111","4,430","4,435",882,14.88,21.04
47,좋은사람들,"2,095",35,-1.64%,"2,728,802","5,776","2,085","2,090","2,031",-43.65,0.60
48,파인메딕스,"8,760","1,310",+17.58%,"2,657,583","23,020","8,540","8,580",493,-80.37,-0.15
49,에이프릴바이오,"24,700","1,500",+6.47%,"2,613,748","65,655","24,600","24,650","5,574",574.42,26.90
50,클로봇,"19,270",340,+1.80%,"2,501,381","49,244","19,320","19,330","4,772",-61.57,-15.71
51,SGA,"3,265",95,-2.83%,"2,286,348","7,534","3,295","3,310","1,922",-217.67,-3.07
52,원익홀딩스,"9,000",10,+0.11%,"2,280,935","20,606","9,020","9,030","6,951",-16.51,-7.41
53,로보티즈,"93,800","5,900",+6.71%,"2,256,038","211,511","94,000","94,100","12,401",987.37,-3.31
54,PS일렉트로닉스,"4,625",205,-4.24%,"2,210,579","10,348","4,590","4,595","1,998",-49.20,-9.27
55,삼양컴텍,"18,210",930,-4.86%,"2,125,847","39,373","18,280","18,290","7,504",35.36,38.14
56,앱코,"1,119",31,-2.70%,"1,744,357","1,955","1,115","1,117",567,11.90,8.21
57,알파녹스,"1,775",25,+1.43%,"1,725,291","3,278","1,785","1,794",304,-3.72,-29.00
58,블루엠텍,"5,770",290,+5.29%,"1,715,928","9,874","5,740","5,750","1,934",-20.32,N/A
59,케이프,"9,370",20,-0.21%,"1,683,415","16,358","9,430","9,460","2,895",14.15,7.47
60,현대바이오,"5,840",120,+2.10%,"1,666,570","10,104","5,840","5,850","5,609",-25.84,-16.36
61,삼현,"15,260",810,+5.61%,"1,618,948","24,375","15,140","15,150","4,839",52.62,N/A
62,고바이오랩,"6,610",850,+14.76%,"1,521,885","9,547","6,130","6,140","1,284",-15.63,-12.79
63,푸른기술,"8,780",290,+3.42%,"1,506,879","13,413","8,800","8,840",734,39.91,5.39
64,샌즈랩,"8,540",760,+9.77%,"1,421,404","12,692","8,500","8,510","1,304",-79.07,-5.21
65,청담글로벌,"7,870",870,-9.95%,"1,400,036","11,435","7,900","7,910","1,657",605.38,2.85
66,대창솔루션,450,3,+0.67%,"1,364,323",613,450,452,829,-6.72,-10.84
67,한선엔지니어링,"7,830",60,-0.76%,"1,281,431","10,644","7,870","7,900","1,352",17.36,7.30
68,우양,"5,040",40,+0.80%,"1,279,335","6,336","5,040","5,050",825,-240.00,-3.06
69,케이쓰리아이,"5,200",400,+8.33%,"1,223,532","6,384","5,140","5,150",389,-7.98,N/A
70,강스템바이오텍,"1,180",13,-1.09%,"1,219,870","1,404","1,176","1,180",661,-4.29,-17.52
71,하이젠알앤엠,"36,100","2,050",+6.02%,"1,197,411","44,128","36,150","36,200","11,151",-200.56,-1.92
72,헝셩그룹,231,1,+0.43%,"1,191,302",274,229,230,434,46.20,0.69
73,디앤디파마텍,"158,400","18,200",+12.98%,"1,148,275","174,776","152,000","152,100","17,140",-45.30,-49.03
74,네오이뮨텍,961,39,-3.90%,"1,084,736","1,045",957,959,950,-3.18,-70.17
75,국일신동,"1,744",57,+3.38%,"1,071,043","2,021","1,992","1,993",193,-6.16,-7.58
76,TS트릴리온,219,8,+3.79%,"1,065,758",232,218,220,235,-4.47,-19.64
77,보성파워텍,"3,825",25,+0.66%,"1,061,542","4,096","3,830","3,835","1,879",11.88,6.80
78,더즌,"5,120",20,+0.39%,"1,055,022","5,431","5,160","5,180","3,672",31.80,28.06
79,하이드로리튬,"2,495",55,-2.16%,"1,036,468","2,594","2,485","2,495","1,352",-3.04,-23.16
80,SGA솔루션즈,704,3,-0.42%,"999,344",709,707,708,601,-4.69,-20.26
81,유니테스트,"14,100","1,340",+10.50%,"992,572","13,653","13,860","13,880","2,980",-13.39,-19.88
82,제주반도체,"16,590",320,+1.97%,"990,134","16,315","16,710","16,740","5,714",48.23,11.44
83,티엑스알로보틱스,"13,740",710,+5.45%,"963,999","13,787","13,730","13,740","2,123",106.51,14.93
84,율호,"1,183",85,-6.70%,"938,308","1,135","1,181","1,188",851,-5.01,-23.33
85,글로벌텍스프리,"4,785",50,-1.03%,"917,979","4,435","4,750","4,755","3,363",16.97,5.60
86,스튜디오미르,"4,855",135,-2.71%,"907,355","4,479","4,915","4,920","1,589",-64.73,0.29
87,팬스타엔터프라이즈,929,0,0.00%,"881,310",824,931,933,"1,075",14.08,6.67
88,국일제지,466,3,-0.64%,"880,277",411,466,467,"5,254",-66.57,-9.98
89,한국선재,"3,495",45,+1.30%,"868,864","3,045","3,485","3,490",892,699.00,-1.02
90,헬릭스미스,"7,010",450,+6.86%,"864,882","6,012","7,000","7,010","3,231",-40.06,-10.43
